
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag,S22_Real,S22_Imag,S23_Real,S23_Imag,S24_Real,S24_Imag,S31_Real,S31_Imag,S32_Real,S32_Imag,S33_Real,S33_Imag,S34_Real,S34_Imag,S41_Real,S41_Imag,S42_Real,S42_Imag,S43_Real,S43_Imag,S44_Real,S44_Imag
1696000000.0,-0.7677481,0.4303399,-0.3035877,0.5109245,0.3431458,0.5015472,0.005170302,0.584666,1.157027e-05,-2.242648e-06,-0.5144951,0.5134871,0.5911877,0.1536815,0.3905091,0.4390657,-0.2363884,0.467002,-0.4614809,0.2856825,-0.4748319,0.4530498,-0.2903591,0.4520797,0.01166891,0.5391121,-0.2807074,0.4831617,0.2801397,0.5008541,-0.5500216,0.3945184
1754000000.0,0.7248456,-0.5282638,-0.3821141,-0.4579339,-0.6086236,0.03428371,-0.4980401,-0.3095435,-8.829014e-06,1.273109e-05,-0.357603,-0.5991954,-0.4285331,0.4385944,-0.5796994,0.1090991,-0.4480225,-0.2767841,-0.2355001,-0.4923712,-0.2874902,-0.5506146,-0.3321305,-0.4228001,-0.5417418,-0.02491785,-0.4583175,-0.3256205,-0.5632532,0.1224499,-0.2272223,-0.6008409
1812000000.0,-0.6485401,0.5926632,0.5598401,-0.2202667,0.2946716,-0.5393429,0.5358509,-0.2502018,1.159951e-05,-1.264911e-05,0.6044905,-0.179544,-0.1595353,-0.5971918,0.2163256,-0.5544162,0.2994992,-0.4373048,0.5113506,-0.2051382,0.5428337,-0.09761552,0.511298,-0.1798232,0.04086895,-0.5430543,0.3486745,-0.4455339,0.04365781,-0.5767405,0.5715706,-0.0476314
1870000000.0,0.6104541,-0.6377441,0.03423698,0.6061124,0.2894721,0.547853,-0.09592277,0.589282,1.866217e-05,-1.570842e-05,-0.1376666,0.5263114,0.5947098,0.1879704,0.3487849,0.4898112,0.4298543,0.3102488,0.1874818,0.520184,-0.2132521,0.4313017,0.008188598,0.5453614,0.542479,0.04878305,0.4382878,0.3618501,0.5424702,0.2103608,-0.2472376,0.4354284
1928000000.0,-0.5217573,0.6945242,-0.5903748,-0.1616067,-0.6245487,-0.04616474,-0.4436449,-0.4084367,6.909833e-06,-6.038894e-06,-0.3375403,-0.519826,-0.4664972,0.425992,-0.6068795,0.04313321,-0.3329768,0.4174396,-0.5368374,0.1519339,-0.2404562,-0.5451149,-0.5249678,-0.1703453,-0.06144597,0.5468847,-0.3853039,0.4269759,-0.3585799,0.4677892,-0.2192915,-0.5586568
1986000000.0,0.4723783,-0.7447968,0.3391632,-0.5142854,0.3459064,-0.5298535,0.5805627,-0.1784656,6.958718e-06,-3.15867e-05,0.6730097,-0.2481089,-0.1680029,-0.6154304,0.2531095,-0.5578177,-0.3927323,-0.3730286,-0.09781744,-0.55672,0.6726449,-0.1913982,0.3303652,-0.4504324,-0.5523102,-0.09396478,-0.4043292,-0.4221427,-0.3645355,-0.4792161,0.6737313,-0.1578944
2044000000.0,-0.3867838,0.7840686,0.3825886,0.4785319,0.3182195,0.5427981,-0.1134692,0.5916834,1.129223e-05,-4.430416e-06,0.2543812,0.6524395,0.6250325,0.1040577,0.3850492,0.4688143,0.4106763,-0.3499124,0.5615135,-0.02549441,0.2229208,0.6420914,0.3280869,0.449845,0.1353568,-0.5393527,0.4563729,-0.3570442,0.5517591,-0.2326568,0.1870988,0.6348061
2102000000.0,0.2982976,-0.822098,-0.561078,0.2005474,-0.6070321,0.03350338,-0.4474045,-0.3736676,-3.172832e-07,1.131308e-05,-0.58467,0.1198012,-0.3518487,0.5030532,-0.5757044,0.1234497,0.2874315,0.4434323,-0.05940836,0.5478073,-0.558716,0.1067913,-0.5156877,0.162383,0.5094834,0.1858078,0.2894069,0.4857993,0.07372555,0.5743253,-0.5287182,0.06711188
2160000000.0,-0.2321294,0.8275239,-0.002471866,-0.5902603,0.2747526,-0.5288808,0.5441291,-0.184908,6.705492e-06,-8.118506e-07,0.1825614,-0.4672555,-0.2582843,-0.5454459,0.1834952,-0.5522788,-0.466495,0.2267091,-0.5284742,-0.1265837,0.1584479,-0.4357522,0.02066919,-0.529576,-0.2371065,0.4752471,-0.5081567,0.2273199,-0.5532517,-0.1061161,0.1881612,-0.3650027
2218000000.0,0.1610391,-0.8661404,0.5588298,0.2009333,0.2865228,0.5213425,-0.1566327,0.5542665,-1.640228e-05,3.529019e-06,0.2725019,0.4499057,0.5994979,0.07538742,0.3633218,0.4588886,-0.1873427,-0.4829731,0.1753027,-0.5152873,0.2574507,0.3860039,0.4899419,0.2010375,-0.4569434,-0.2728559,-0.183365,-0.5286024,0.2792228,-0.4879086,0.1488494,0.4083899
2276000000.0,-0.02177611,0.8635306,-0.3910939,0.4688649,-0.6029012,-0.06498028,-0.3671581,-0.4621972,1.626873e-05,1.889867e-05,-0.6328214,0.009011932,-0.402705,0.4680716,-0.6001028,0.04204572,0.505224,-0.1618555,0.5138027,0.2181226,-0.5412478,0.01769386,-0.3642698,0.3992294,0.3037206,-0.4575177,0.556415,-0.1557177,0.3822405,0.4305544,-0.540503,-0.1123789
