
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag
1000000000.0,-0.7186882,-0.5803118,-7.248036e-06,-6.943459e-05
1078000000.0,0.7985462,0.4691088,-5.204302e-06,-1.375478e-05
1156000000.0,-0.8200737,-0.4101329,1.060722e-06,-1.299095e-05
1234000000.0,0.8581995,0.3205333,2.720149e-05,-2.77102e-05
1312000000.0,-0.877589,-0.2518005,-5.494945e-06,6.350734e-07
1390000000.0,0.9062892,0.1536627,-1.357317e-05,1.072779e-06
1468000000.0,-0.9063383,-0.05558292,-7.082155e-06,-2.310934e-05
1546000000.0,0.906664,-0.03988775,-3.41844e-05,-8.757855e-06
1624000000.0,-0.8945861,0.1083753,-1.035756e-05,9.234715e-06
1702000000.0,0.8938444,-0.1910761,-7.582825e-06,-1.310171e-05
1780000000.0,-0.8502608,0.3029495,-1.959386e-05,-6.008485e-06
1858000000.0,0.8139458,-0.3775405,1.250615e-05,4.477541e-07
1936000000.0,-0.7751552,0.4374102,2.624726e-07,8.520057e-06
2014000000.0,0.7406073,-0.5325385,-2.400349e-06,1.020937e-05
2092000000.0,-0.6613242,0.6041784,5.863533e-06,-1.335415e-05
2170000000.0,0.6137937,-0.64726,1.410478e-05,-2.037349e-05
2248000000.0,-0.5366079,0.7023439,5.18783e-09,-5.564403e-06
2326000000.0,0.4792722,-0.7548302,1.187094e-05,2.699876e-06
2404000000.0,-0.3926197,0.7941172,-3.619948e-06,-5.950165e-06
2482000000.0,0.3010505,-0.841004,5.53036e-06,5.493958e-06
2560000000.0,-0.2276632,0.8406151,-8.495168e-06,4.704246e-06
2638000000.0,0.1676106,-0.8776665,-1.633538e-07,2.300763e-06
2716000000.0,-0.02391111,0.8832619,-2.362101e-05,-1.88115e-05
2794000000.0,-0.03973689,-0.8744123,6.649786e-07,-1.022155e-05
2872000000.0,0.09754932,0.8698174,-1.009354e-05,-4.629266e-06
2950000000.0,-0.2126112,-0.8758651,9.772068e-06,-3.423809e-06
3028000000.0,0.2773941,0.8196501,4.711867e-07,-1.515409e-05
3106000000.0,-0.369088,-0.7999226,-9.033452e-06,-6.236361e-06
3184000000.0,0.4526178,0.7363073,-1.141761e-06,-3.193594e-05
3262000000.0,-0.4990184,-0.7172964,-8.232431e-06,1.482139e-05
3340000000.0,0.5871686,0.6548203,-7.366334e-07,-3.821721e-06
3418000000.0,-0.6569325,-0.5793711,-6.542299e-06,6.529514e-07
3496000000.0,0.6796068,0.5120314,-1.622606e-05,1.051101e-05
3574000000.0,-0.7572742,-0.4517431,4.714024e-07,7.585633e-06
3652000000.0,0.8113247,0.3238882,6.034582e-07,-1.383098e-06
3730000000.0,-0.8050398,-0.3048215,-2.298812e-06,-4.656143e-06
3808000000.0,0.8434294,0.1847978,-1.073235e-05,-2.0981e-05
3886000000.0,-0.8534595,-0.1168319,-1.150718e-06,-9.024625e-06
3964000000.0,0.8569415,0.02892019,1.372831e-06,1.98916e-06
4042000000.0,-0.8664423,0.03112636,5.377157e-06,-6.407154e-06
4120000000.0,0.831769,-0.206916,-2.136278e-05,-1.449781e-05
4198000000.0,-0.8308936,0.1832956,-9.243036e-06,-7.391626e-06
4276000000.0,0.8026678,-0.3335691,-6.530366e-06,-8.922059e-06
4354000000.0,-0.7666366,0.3751206,-6.3781e-06,8.597992e-06
4432000000.0,0.7185287,-0.453897,-1.08603e-05,-7.413852e-06
4510000000.0,-0.6752881,0.5177428,1.099316e-05,-6.564346e-06
4588000000.0,0.5799437,-0.6264774,2.411254e-05,1.898478e-05
4666000000.0,-0.5834545,0.6071427,1.606866e-05,-1.339053e-05
4744000000.0,0.4490113,-0.7319482,6.61583e-06,-9.640969e-06
4822000000.0,-0.402934,0.717097,4.762757e-07,-4.53465e-08
4900000000.0,0.355009,-0.7688115,5.72066e-06,2.28731e-05
4978000000.0,-0.2542688,0.8088796,-1.575566e-05,9.118718e-06
5056000000.0,0.1414899,-0.8256555,-3.074054e-06,-6.404758e-06
5134000000.0,-0.1275281,0.8136627,-1.634295e-06,-5.990796e-06
5212000000.0,-0.02520033,-0.8514923,5.776464e-06,-6.968778e-06
5290000000.0,0.07230406,0.80627,-7.117138e-06,4.630552e-06
5368000000.0,-0.1286185,-0.8320779,2.449533e-06,4.864707e-06
5446000000.0,0.2794628,0.7789369,3.676773e-06,4.994182e-06
5524000000.0,-0.3041137,-0.7609363,7.422088e-07,8.615541e-06
5602000000.0,0.3591511,0.7467967,-2.365104e-06,1.331779e-06
5680000000.0,-0.4874473,-0.6666315,-9.945383e-06,6.960263e-06
5758000000.0,0.4846559,0.6241654,1.288745e-05,-1.123464e-06
5836000000.0,-0.5655692,-0.6253294,5.570783e-06,-2.108113e-06
5914000000.0,0.6743168,0.4722113,5.581447e-06,2.903666e-06
5992000000.0,-0.6483014,-0.4721293,1.678838e-05,-7.932532e-06
6070000000.0,0.7301714,0.4022723,-7.24448e-07,-2.074109e-05
6148000000.0,-0.7786077,-0.254328,1.543548e-05,-1.069085e-05
6226000000.0,0.7501436,0.2677206,6.353691e-06,-3.275274e-06
6304000000.0,-0.8113862,-0.1977275,1.07499e-05,-3.498165e-06
6382000000.0,0.8008893,0.06662467,1.623964e-05,8.310419e-07
6460000000.0,-0.8019068,-0.05788237,4.883909e-06,1.265635e-06
6538000000.0,0.8261169,-0.08543333,1.037403e-06,4.307019e-06
6616000000.0,-0.7653298,0.1838719,-2.376995e-06,3.609433e-06
6694000000.0,0.7964118,-0.1521705,5.209131e-07,-1.327502e-05
6772000000.0,-0.7674567,0.3473803,1.301959e-05,9.337676e-06
6850000000.0,0.6696126,-0.3898962,-4.061475e-06,-1.23604e-05
6928000000.0,-0.7207035,0.3522253,-9.649266e-06,2.720592e-06
7006000000.0,0.6572515,-0.5277435,-1.846452e-05,4.671687e-06
7084000000.0,-0.5504528,0.5785608,2.140098e-05,2.456836e-05
7162000000.0,0.5515445,-0.5732398,9.802762e-06,-1.716224e-06
7240000000.0,-0.473451,0.6533565,9.451052e-06,1.115897e-05
7318000000.0,0.407524,-0.6758811,6.044321e-06,-5.915353e-06
7396000000.0,-0.3852594,0.7357067,1.372349e-05,-1.014266e-06
7474000000.0,0.180542,-0.7634529,-2.967441e-06,-1.647231e-05
7552000000.0,-0.235779,0.7152281,-1.739328e-05,-2.056569e-05
7630000000.0,0.1618074,-0.8225992,1.287077e-05,-2.503079e-05
7708000000.0,0.02389517,0.8570399,1.969115e-05,1.605425e-05
7786000000.0,-0.1257169,-0.7409951,-1.560934e-05,1.321327e-05
7864000000.0,0.01353585,0.8050194,2.906421e-06,-8.716011e-06
7942000000.0,-0.2186707,-0.8149224,1.977494e-05,2.827681e-06
8020000000.0,0.2400225,0.7728865,-1.35382e-05,6.931234e-06
8098000000.0,-0.3471302,-0.68229,-6.417127e-06,8.566562e-06
8176000000.0,0.3489405,0.6682671,-1.729154e-06,-1.337865e-05
8254000000.0,-0.4532964,-0.6654295,-6.917178e-06,-1.188168e-05
8332000000.0,0.5393902,0.6264116,1.197544e-05,4.677499e-07
8410000000.0,-0.611165,-0.3861238,1.047416e-05,-2.977875e-05
8488000000.0,0.489334,0.5330252,-1.562677e-05,-1.089783e-05
8566000000.0,-0.7266905,-0.4522286,8.363983e-07,-1.340801e-05
8644000000.0,0.7647299,0.2720277,-5.659545e-06,-4.548112e-06
8722000000.0,-0.6834887,-0.1996931,-9.400494e-06,-1.230371e-05
8800000000.0,0.6761037,0.3396893,1.802661e-05,-3.777746e-06
8878000000.0,-0.8296847,-0.1154829,1.30586e-06,-6.224656e-06
8956000000.0,0.7781088,0.0562359,-2.786154e-06,9.603436e-06
9034000000.0,-0.7217121,0.05061002,-2.885944e-06,9.382704e-06
9112000000.0,0.6988223,-0.01134168,-1.237659e-05,-1.752048e-05
9190000000.0,-0.8180788,0.1192287,7.345932e-06,-9.186587e-07
9268000000.0,0.7184535,-0.3153124,-5.560029e-06,3.27048e-06
9346000000.0,-0.5635496,0.3491165,-3.198608e-06,-4.812721e-06
9424000000.0,0.6665192,-0.2348659,-6.751006e-06,7.213866e-06
9502000000.0,-0.6951359,0.5005895,1.889781e-06,3.649737e-06
9580000000.0,0.4702061,-0.6104378,7.756131e-06,6.053791e-06
9658000000.0,-0.5096461,0.4639106,4.790271e-06,1.129169e-05
9736000000.0,0.5216067,-0.5200862,3.207425e-06,4.720249e-06
9814000000.0,-0.4566525,0.6290084,-2.421465e-06,1.205361e-06
9892000000.0,0.3364138,-0.6689596,-8.869461e-06,-7.033896e-06
9970000000.0,-0.2467694,0.624861,-3.372151e-06,4.022835e-07
10048000000.0,0.2738119,-0.6263862,1.345476e-06,5.441116e-06
10126000000.0,-0.2330698,0.7661204,-5.497034e-06,9.369654e-06
10204000000.0,-0.02866358,-0.7632723,-5.277445e-06,1.445378e-06
10282000000.0,0.00176819,0.6914036,4.312037e-06,4.374414e-06
10360000000.0,0.03072653,-0.7649481,1.275275e-05,4.901808e-06
10438000000.0,0.07058159,0.745268,1.287708e-05,4.036116e-05
10516000000.0,-0.1115617,-0.7420863,7.538115e-06,1.184219e-05
10594000000.0,0.163836,0.7419969,-1.932678e-05,1.226016e-05
10672000000.0,-0.2584616,-0.7074817,4.384534e-06,-2.831628e-05
10750000000.0,0.3108177,0.6919758,-1.750734e-05,-3.071299e-05
10828000000.0,-0.3954001,-0.6348887,-4.449528e-05,-2.084932e-06
10906000000.0,0.4498597,0.5997668,-6.138095e-05,-2.547602e-05
10984000000.0,-0.5115305,-0.5446548,1.501353e-05,5.193801e-05
11062000000.0,0.5527092,0.5101255,4.742946e-06,3.564796e-05
11140000000.0,-0.6103619,-0.4241805,-5.150046e-05,-4.113667e-05
11218000000.0,0.645016,0.387574,-2.571662e-05,-5.429751e-05
11296000000.0,-0.683391,-0.2858719,-7.66275e-06,4.365756e-05
11374000000.0,0.6983593,0.2501658,-0.0001351455,-7.319868e-05
11452000000.0,-0.7287415,-0.1403443,-2.536285e-05,-8.270819e-05
11530000000.0,0.7390335,0.09929767,-4.096991e-05,-1.800188e-05
11608000000.0,-0.7414418,0.01685924,2.193904e-07,-6.011601e-05
11686000000.0,0.7510439,-0.04551923,6.617619e-05,-9.050762e-05
11764000000.0,-0.7114152,0.1724877,-3.740359e-06,-2.955272e-05
11842000000.0,0.7101278,-0.2053078,5.769264e-05,3.982658e-05
11920000000.0,-0.6622459,0.308146,4.515045e-05,-5.021149e-05
11998000000.0,0.6578803,-0.3458501,2.663141e-06,1.415725e-05
12076000000.0,-0.6095351,0.4220898,1.11352e-05,-5.716014e-05
12154000000.0,0.5701577,-0.4717775,7.265615e-05,-6.039717e-05
12232000000.0,-0.4962359,0.5470452,8.791863e-06,-5.047056e-06
12310000000.0,0.4693863,-0.5767378,6.094506e-05,6.348469e-05
12388000000.0,-0.3694565,0.6362913,4.155825e-05,6.968118e-05
12466000000.0,0.3310997,-0.647995,3.613903e-06,-9.901627e-05
12544000000.0,-0.2609199,0.6863471,-2.709118e-05,0.0001418117
12622000000.0,0.1878948,-0.7036428,-3.86964e-05,6.157424e-05
12700000000.0,-0.1186906,0.7271933,4.207422e-05,3.364422e-05
12778000000.0,0.03984429,-0.7314168,-8.089187e-05,-1.757761e-07
12856000000.0,0.03390224,0.7323255,-8.77378e-05,1.567479e-06
12934000000.0,-0.1166548,-0.7183003,-0.0001125989,9.16874e-05
13012000000.0,0.1672494,0.7222649,-2.671614e-05,2.519474e-05
13090000000.0,-0.3799412,-0.602396,-4.018207e-05,1.089591e-06
13168000000.0,0.3175065,0.6614307,-5.778385e-05,4.054169e-05
13246000000.0,-0.4089258,-0.5967577,1.206627e-05,-6.193288e-05
13324000000.0,0.4393321,0.5831138,-4.717548e-06,5.122337e-05
13402000000.0,-0.5154905,-0.5047756,-4.501499e-05,9.164141e-08
13480000000.0,0.5496206,0.4806068,5.697609e-05,7.719959e-05
13558000000.0,-0.6054019,-0.381303,2.273686e-06,1.635929e-05
13636000000.0,0.6384179,0.3635198,-3.976069e-05,8.161463e-06
13714000000.0,-0.6800879,-0.2395872,1.509097e-05,-3.807146e-05
13792000000.0,0.6914825,0.2230143,6.499223e-05,-9.98387e-05
13870000000.0,-0.7221476,-0.08979045,2.137406e-05,5.519864e-05
13948000000.0,0.710209,0.06592499,-1.201659e-05,-2.943223e-05
14026000000.0,-0.71668,0.04703046,4.105406e-05,-1.70411e-05
14104000000.0,0.7223431,-0.08278714,-2.494479e-05,-4.858613e-05
14182000000.0,-0.6893023,0.187549,-3.347159e-05,-1.889632e-05
14260000000.0,0.689844,-0.2164025,3.954563e-05,-2.032663e-05
14338000000.0,-0.6395541,0.3379306,-5.002713e-05,4.285987e-05
14416000000.0,0.6207132,-0.3552711,-5.210322e-05,-1.901353e-06
14494000000.0,-0.5669469,0.4412036,2.566248e-05,-2.2649e-05
14572000000.0,0.5219706,-0.4829576,3.340747e-05,2.661401e-05
14650000000.0,-0.467557,0.5367817,-1.638468e-05,2.396815e-05
14728000000.0,0.4155334,-0.5880918,-4.414961e-06,-6.212977e-05
14806000000.0,-0.3436521,0.6224028,-1.150028e-05,6.141023e-05
14884000000.0,0.2921425,-0.6509529,1.862177e-05,4.604791e-06
14962000000.0,-0.2169511,0.6823726,7.359265e-06,7.992986e-05
15040000000.0,0.1383577,-0.6929671,2.885484e-05,4.760232e-06
15118000000.0,-0.08175372,0.7088836,-2.515087e-05,7.259882e-07
15196000000.0,-0.007938931,-0.7089104,2.539814e-05,1.23628e-05
15274000000.0,0.07536349,0.704836,-2.814084e-05,8.946732e-05
15352000000.0,-0.1453409,-0.6935611,-5.27324e-05,4.269978e-05
15430000000.0,0.2324164,0.6748325,-9.165202e-06,-1.659244e-05
15508000000.0,-0.2753703,-0.6444581,-6.309362e-05,2.073845e-05
15586000000.0,0.3581497,0.6170428,3.255651e-05,1.308519e-05
15664000000.0,-0.4093602,-0.5676922,2.447074e-05,3.525277e-05
15742000000.0,0.4722617,0.5295454,-4.179078e-06,4.322575e-05
15820000000.0,-0.5156931,-0.4765141,1.562526e-05,-4.428105e-05
15898000000.0,0.568707,0.4265984,-1.695934e-05,1.814349e-05
15976000000.0,-0.5842149,-0.3680789,-2.825883e-06,-2.157452e-05
16054000000.0,0.657745,0.2725639,-4.085788e-06,-8.19525e-06
16132000000.0,-0.6614248,-0.2055145,-4.369663e-05,-4.089187e-05
16210000000.0,0.6897746,0.1816746,-3.88728e-05,1.52372e-05
16288000000.0,-0.6874818,-0.07618161,3.950074e-06,-4.216568e-05
16366000000.0,0.7067354,0.02637522,3.744631e-05,-1.321694e-05
16444000000.0,-0.6906409,0.06065979,2.562561e-05,-3.340037e-05
16522000000.0,0.7011034,-0.1020596,-8.736845e-06,9.554791e-07
16600000000.0,-0.6493728,0.2042364,-3.172215e-06,2.975343e-05
16678000000.0,0.6638592,-0.2518661,-7.049028e-05,-2.8165e-05
16756000000.0,-0.6332106,0.2749327,-1.463838e-05,-3.750874e-05
16834000000.0,0.5975132,-0.3642805,-1.750788e-05,-3.702236e-05
16912000000.0,-0.5075886,0.4740163,-3.418102e-05,-5.821584e-05
16990000000.0,0.5017483,-0.4815449,-3.436522e-05,-1.652248e-05
17068000000.0,-0.4009021,0.5611991,2.733291e-05,1.828054e-05
17146000000.0,0.3935274,-0.5748655,-9.038667e-05,1.564954e-05
17224000000.0,-0.2735499,0.6282252,-4.617469e-05,6.547463e-06
17302000000.0,0.2604333,-0.6358238,1.482856e-05,-2.91424e-06
17380000000.0,-0.1256766,0.6836592,5.377565e-07,-3.796303e-05
17458000000.0,0.1090023,-0.6702538,-2.06882e-05,4.169231e-05
17536000000.0,0.01922878,0.6997833,4.052474e-05,2.683636e-05
17614000000.0,-0.05555747,-0.6745961,1.430656e-05,2.260636e-06
17692000000.0,0.1539373,0.6747163,-1.959303e-05,2.184552e-05
17770000000.0,-0.2172722,-0.6411949,-3.583158e-06,1.108126e-05
17848000000.0,0.2845252,0.6280893,-5.419285e-05,2.767703e-05
17926000000.0,-0.3587765,-0.5673171,-7.120661e-06,-3.2002e-05
18004000000.0,0.4077397,0.5650756,3.513227e-05,6.18275e-05
18082000000.0,-0.4842105,-0.460513,-2.435232e-05,-2.910489e-06
18160000000.0,0.5095199,0.4717875,-8.931804e-06,1.630371e-05
18238000000.0,-0.5799274,-0.3336822,-4.155493e-05,3.924908e-05
18316000000.0,0.5924091,0.3430903,2.046915e-05,-5.421683e-05
18394000000.0,-0.6494098,-0.1721751,-9.57754e-06,1.3943e-06
18472000000.0,0.6496109,0.2123205,-4.881262e-05,2.801414e-05
18550000000.0,-0.6743988,-0.03897018,1.652134e-05,-2.932575e-05
18628000000.0,0.6744938,0.06740202,-1.239348e-05,1.33776e-05
18706000000.0,-0.6739261,0.1046382,-4.503142e-06,2.142999e-05
18784000000.0,0.6643098,-0.07964871,2.384436e-05,-2.770658e-05
18862000000.0,-0.62881,0.2597489,8.374268e-06,-7.903596e-05
18940000000.0,0.6224811,-0.2374027,4.238843e-06,2.78101e-05
19018000000.0,-0.5627009,0.3890539,-9.304867e-06,3.967026e-05
19096000000.0,0.5501969,-0.3634318,2.125764e-05,2.584727e-05
19174000000.0,-0.4800854,0.4933674,3.48451e-05,4.101236e-05
19252000000.0,0.440124,-0.4857652,6.298637e-05,4.090853e-05
19330000000.0,-0.3787647,0.5765642,4.504066e-05,-3.671522e-05
19408000000.0,0.3136335,-0.5755216,8.640493e-05,-1.383223e-05
19486000000.0,-0.2383597,0.6389704,1.852172e-05,4.642504e-05
19564000000.0,0.1612339,-0.6395108,-2.78132e-05,-7.763562e-05
19642000000.0,-0.1097525,0.6732391,-4.766323e-05,4.014038e-05
19720000000.0,-0.002498977,-0.6529903,-4.723222e-05,1.265273e-05
19798000000.0,0.02032163,0.6841637,7.842761e-06,6.211503e-05
19876000000.0,-0.1533845,-0.6447996,4.033385e-05,9.749816e-06
19954000000.0,0.1245161,0.6647588,7.571901e-05,5.181048e-05
20032000000.0,-0.2900166,-0.5949672,3.707593e-05,8.468865e-05
20110000000.0,0.2852206,0.6108631,4.283933e-07,7.304132e-05
20188000000.0,-0.4090424,-0.5207195,9.098885e-05,4.073876e-06
20266000000.0,0.4002852,0.5452861,4.014849e-05,0.0001064338
20344000000.0,-0.5128246,-0.409795,2.275446e-06,2.388749e-05
20422000000.0,0.5072194,0.438298,-6.223418e-06,-3.545706e-05
20500000000.0,-0.5960729,-0.3013062,1.181052e-05,3.169557e-05
20578000000.0,0.5819626,0.3137734,6.611351e-05,1.18995e-05
20656000000.0,-0.6437902,-0.1659554,4.729135e-07,-1.456516e-05
20734000000.0,0.6417918,0.1838778,-4.450872e-05,2.001246e-05
20812000000.0,-0.6549245,-0.01455176,4.167989e-05,7.576625e-05
20890000000.0,0.6703399,0.05142325,-4.411104e-05,7.229688e-05
20968000000.0,-0.6451739,0.126041,4.423213e-05,3.602466e-05
21046000000.0,0.6524335,-0.1089523,4.798669e-05,2.787335e-06
21124000000.0,-0.6059675,0.2667698,4.357448e-05,4.984603e-05
21202000000.0,0.6125486,-0.2593427,3.981424e-05,-9.556065e-06
21280000000.0,-0.5344926,0.3730733,1.908817e-05,-5.04995e-05
21358000000.0,0.5487247,-0.3816286,-5.882563e-06,6.038118e-05
21436000000.0,-0.4080131,0.5066324,2.018e-05,3.065371e-06
21514000000.0,0.450565,-0.4875289,2.344857e-05,-1.039652e-05
21592000000.0,-0.3035525,0.5902833,-1.835999e-05,3.971588e-05
21670000000.0,0.3216292,-0.5666351,9.517073e-05,-7.820221e-05
21748000000.0,-0.1634215,0.6380557,8.061593e-06,8.4896e-06
21826000000.0,0.1808923,-0.6348963,4.214345e-05,-2.931841e-06
21904000000.0,-0.008728353,0.6502487,5.000853e-06,4.648238e-06
21982000000.0,0.05052274,-0.6534284,-5.059394e-06,-3.476604e-05
22060000000.0,0.1550007,0.643483,-4.665369e-05,3.652732e-05
22138000000.0,-0.1220841,-0.6242419,4.044787e-05,-3.223291e-05
22216000000.0,0.2898557,0.6122561,5.359656e-05,2.888884e-05
22294000000.0,-0.2809076,-0.5677995,4.126006e-05,-1.098176e-05
22372000000.0,0.3935085,0.5431719,-1.951123e-05,3.774474e-05
22450000000.0,-0.4013847,-0.481676,-1.660173e-05,2.025462e-05
22528000000.0,0.5200295,0.4151724,-6.033038e-05,4.543353e-05
