Setting,Value
Resource Address,TCPIP0::169.254.250.89::inst0::INSTR
Timeout (ms),20000
Frequency Mode,Center/Span
Start Freq (Hz),1000000000.0
Stop Freq (Hz),4000000000.0
Center Freq (Hz),2500000000.0
Span (Hz),3000000000.0
IF Bandwidth (Hz),100000.0
Plot Type,Imag

Frequency (Hz),Imag
1000000000.0,0.0
1015000000.0,0.0
1030000000.0,0.0
1045000000.0,0.0
1060000000.0,0.0
1075000000.0,0.0
1090000000.0,0.0
1105000000.0,0.0
1120000000.0,0.0
1135000000.0,0.0
1150000000.0,0.0
1165000000.0,0.0
1180000000.0,0.0
1195000000.0,0.0
1210000000.0,0.0
1225000000.0,0.0
1240000000.0,0.0
1255000000.0,0.0
1270000000.0,0.0
1285000000.0,0.0
1300000000.0,0.0
1315000000.0,0.0
1330000000.0,0.0
1345000000.0,0.0
1360000000.0,0.0
1375000000.0,0.0
1390000000.0,0.0
1405000000.0,0.0
1420000000.0,0.0
1435000000.0,0.0
1450000000.0,0.0
1465000000.0,0.0
1480000000.0,0.0
1495000000.0,0.0
1510000000.0,0.0
1525000000.0,0.0
1540000000.0,0.0
1555000000.0,0.0
1570000000.0,0.0
1585000000.0,0.0
1600000000.0,0.0
1615000000.0,0.0
1630000000.0,0.0
1645000000.0,0.0
1660000000.0,0.0
1675000000.0,0.0
1690000000.0,0.0
1705000000.0,0.0
1720000000.0,0.0
1735000000.0,0.0
1750000000.0,0.0
1765000000.0,0.0
1780000000.0,0.0
1795000000.0,0.0
1810000000.0,0.0
1825000000.0,0.0
1840000000.0,0.0
1855000000.0,0.0
1870000000.0,0.0
1885000000.0,0.0
1900000000.0,0.0
1915000000.0,0.0
1930000000.0,0.0
1945000000.0,0.0
1960000000.0,0.0
1975000000.0,0.0
1990000000.0,0.0
2005000000.0,0.0
2020000000.0,0.0
2035000000.0,0.0
2050000000.0,0.0
2065000000.0,0.0
2080000000.0,0.0
2095000000.0,0.0
2110000000.0,0.0
2125000000.0,0.0
2140000000.0,0.0
2155000000.0,0.0
2170000000.0,0.0
2185000000.0,0.0
2200000000.0,0.0
2215000000.0,0.0
2230000000.0,0.0
2245000000.0,0.0
2260000000.0,0.0
2275000000.0,0.0
2290000000.0,0.0
2305000000.0,0.0
2320000000.0,0.0
2335000000.0,0.0
2350000000.0,0.0
2365000000.0,0.0
2380000000.0,0.0
2395000000.0,0.0
2410000000.0,0.0
2425000000.0,0.0
2440000000.0,0.0
2455000000.0,0.0
2470000000.0,0.0
2485000000.0,0.0
2500000000.0,0.0
2515000000.0,0.0
2530000000.0,0.0
2545000000.0,0.0
2560000000.0,0.0
2575000000.0,0.0
2590000000.0,0.0
2605000000.0,0.0
2620000000.0,0.0
2635000000.0,0.0
2650000000.0,0.0
2665000000.0,0.0
2680000000.0,0.0
2695000000.0,0.0
2710000000.0,0.0
2725000000.0,0.0
2740000000.0,0.0
2755000000.0,0.0
2770000000.0,0.0
2785000000.0,0.0
2800000000.0,0.0
2815000000.0,0.0
2830000000.0,0.0
2845000000.0,0.0
2860000000.0,0.0
2875000000.0,0.0
2890000000.0,0.0
2905000000.0,0.0
2920000000.0,0.0
2935000000.0,0.0
2950000000.0,0.0
2965000000.0,0.0
2980000000.0,0.0
2995000000.0,0.0
3010000000.0,0.0
3025000000.0,0.0
3040000000.0,0.0
3055000000.0,0.0
3070000000.0,0.0
3085000000.0,0.0
3100000000.0,0.0
3115000000.0,0.0
3130000000.0,0.0
3145000000.0,0.0
3160000000.0,0.0
3175000000.0,0.0
3190000000.0,0.0
3205000000.0,0.0
3220000000.0,0.0
3235000000.0,0.0
3250000000.0,0.0
3265000000.0,0.0
3280000000.0,0.0
3295000000.0,0.0
3310000000.0,0.0
3325000000.0,0.0
3340000000.0,0.0
3355000000.0,0.0
3370000000.0,0.0
3385000000.0,0.0
3400000000.0,0.0
3415000000.0,0.0
3430000000.0,0.0
3445000000.0,0.0
3460000000.0,0.0
3475000000.0,0.0
3490000000.0,0.0
3505000000.0,0.0
3520000000.0,0.0
3535000000.0,0.0
3550000000.0,0.0
3565000000.0,0.0
3580000000.0,0.0
3595000000.0,0.0
3610000000.0,0.0
3625000000.0,0.0
3640000000.0,0.0
3655000000.0,0.0
3670000000.0,0.0
3685000000.0,0.0
3700000000.0,0.0
3715000000.0,0.0
3730000000.0,0.0
3745000000.0,0.0
3760000000.0,0.0
3775000000.0,0.0
3790000000.0,0.0
3805000000.0,0.0
3820000000.0,0.0
3835000000.0,0.0
3850000000.0,0.0
3865000000.0,0.0
3880000000.0,0.0
3895000000.0,0.0
3910000000.0,0.0
3925000000.0,0.0
3940000000.0,0.0
3955000000.0,0.0
3970000000.0,0.0
3985000000.0,0.0
4000000000.0,0.0
